id,total
OTU3667,59
OTU4066,59
OTU4085,59
OTU6479,59
OTU6512,59
OTU7516,59
OTU547,58
OTU1479,58
OTU2517,58
OTU2995,58
OTU5806,58
OTU6029,58
OTU6227,58
OTU6917,58
OTU6980,58
OTU130,57
OTU455,57
OTU1758,57
OTU6655,57
OTU6698,57
OTU7321,57
OTU1504,56
OTU3256,56
OTU6078,56
OTU6403,56
OTU6495,56
OTU7399,56
OTU7528,56
OTU7530,56
OTU2013,55
OTU2103,55
OTU2328,55
OTU2407,55
OTU2660,55
OTU3290,55
OTU3379,55
OTU3540,55
OTU5507,55
OTU5703,55
OTU7319,55
OTU767,54
OTU1471,54
OTU1573,54
OTU2448,54
OTU2653,54
OTU2880,54
OTU3450,54
OTU3865,54
OTU3965,54
OTU4091,54
OTU4671,54
OTU5042,54
OTU5171,54
OTU6238,54
OTU6675,54
OTU7687,54
OTU4,53
OTU132,53
OTU826,53
OTU1407,53
OTU1429,53
OTU1676,53
OTU2652,53
OTU3484,53
OTU3515,53
OTU3572,53
OTU4245,53
OTU4492,53
OTU5767,53
OTU5794,53
OTU5898,53
OTU6463,53
OTU6704,53
OTU6984,53
OTU7746,53
OTU1673,52
OTU2147,52
OTU2310,52
OTU2676,52
OTU3426,52
OTU3819,52
OTU5754,52
OTU6065,52
OTU6071,52
OTU6087,52
OTU6863,52
OTU7735,52
OTU1783,51
OTU2239,51
OTU2755,51
OTU2788,51
OTU2878,51
OTU2907,51
OTU3483,51
OTU6020,51
OTU6136,51
OTU6157,51
OTU6171,51
OTU7038,51
OTU56,50
OTU609,50
OTU766,50
OTU947,50
OTU1017,50
OTU1580,50
OTU1692,50
OTU1724,50
OTU3388,50
OTU3591,50
OTU5146,50
OTU6510,50
OTU7335,50
