sample,river,zone,site,habitat,Lat,Lon,oxygen,oxygen_sat,temperature,chloride,doc,ammonium,nitrate,phosphate,tn,tp,don,np,benthic_type,afdm,chl
328,Swan,OC,UP,FC,47.7377,-113.8307,9.54,111.4,17.2,0.267,1.056,1.5,3.4,5,65.6,1.5,60.7,2.2,Epilithon,0.24,1.4
329,Swan,MC,UP,SL,47.738,-113.8287,9.37,110.3,17.6,0.304,0.942,3,15.2,2.3,102.4,4.7,84.2,17.6,Epilithon,0.11,0.3
331,Swan,OC,UP,PS,47.7358,-113.827,5.27,64.8,19.6,0.257,1.014,3,61.5,3,131,2.3,66.5,48.3,Epilithon,1.2,3.2
333,Swan,MC,UP,CZ,47.7388,-113.8309,9.13,107.4,17.5,0.273,0.917,1.5,15.9,1.3,80.8,1.5,63.4,29.9,Epilithon,2.41,10.5
335,Swan,OC,UP,PS,47.7399,-113.8274,5.93,61.3,11.2,2.541,1.514,1.8,12.9,3.6,59,1.9,44.3,9,Epilithon,1.15,20
337,Swan,OC,UP,OS,47.7458,-113.8295,3.9,40,11.6,0.426,1.651,37.6,4.2,3.6,119.2,2.7,77.4,25.6,Epilithon,0.37,12.9
339,Swan,OC,UP,PN,47.7379,-113.8294,3.17,36.8,17.3,0.105,1.705,1.5,1.9,8,,,,0.9,FBOM,29.61,511.2
340,Swan,MC,MD,SR,47.8136,-113.8326,9.49,102.3,14,0.319,1.501,1.5,26.4,5,,,,12.4,Epilithon,0.24,9.1
341,Swan,MC,MD,RN,47.8101,-113.8355,9.96,110.2,15.2,0.265,1.389,1.5,22.9,5,55.5,1.7,31.1,10.9,Epilithon,0.13,0.9
342,Swan,MC,MD,PO,47.8091,-113.8373,9.43,107.6,16.3,0.254,1.057,1.5,26.5,5.3,92.8,2.7,64.8,11.7,,,
343,Swan,OC,MD,FC,47.8144,-113.8335,5.31,56.2,13.3,0.17,0.981,1.5,23.2,5,76,3.3,51.3,11,Epilithon,0.49,96.3
344,Swan,MC,MD,SL,47.8082,-113.8391,7.69,94.1,19.6,0.154,0.536,2.8,12.4,3.6,115,2.1,99.9,9.2,Epilithon,0.1,0.3
346,Swan,MC,MD,CZ,47.8063,-113.838,9.08,105.1,17,0.316,0.862,2,23.5,4.3,57.8,3.5,32.3,13.2,Epilithon,0.06,0.2
348,Swan,OC,MD,BK,47.8101,-113.8361,9.45,110.2,17.5,0.33,1.226,1.5,25.9,4.6,50,3.1,22.6,13.1,FBOM,27.61,121.3
350,Swan,OC,MD,OS,47.8112,-113.8324,3.76,35.9,8.7,0.976,0.609,1.5,31.5,5.6,149.8,16.6,116.8,13,FBOM,33.94,180.9
352,Swan,OC,MD,PN,47.8159,-113.8337,6.41,65.1,11.3,5.969,2.075,1.5,13.9,11.6,93.7,2.1,78.3,2.9,FBOM,70.38,431.1
353,Swan,MC,DW,SR,47.8205,-113.8362,9.56,102,13.7,0.361,1.3,1.7,26.9,6,33.6,2.8,5.1,10.6,Epilithon,0.07,1
354,Swan,MC,DW,RN,47.8181,-113.8344,11.13,126.2,16.1,0.355,1.436,1.5,23.9,4.6,54.7,3.1,29.3,12.1,Epilithon,0.61,3.4
355,Swan,MC,DW,PO,47.8224,-113.8425,10.37,116.4,15.6,0.562,1.252,1.5,25.2,6,70.7,1.9,44,9.9,,,
356,Swan,OC,DW,FC,47.8197,-113.84,9.37,100.3,13.7,0.32,1.139,1.5,26.2,5.6,72.1,2,44.4,10.9,Epilithon,0.07,0.3
357,Swan,MC,DW,SL,47.8205,-113.8426,9.64,104.3,14.2,0.241,1.077,2.8,22.9,5.3,50.2,1.5,24.5,10.8,Epilithon,0.24,2.3
359,Swan,OC,DW,PS,47.823,-113.8434,6.42,73.6,16.7,0.421,1.12,1.5,39.9,6.3,,,,14.6,FBOM,3.2,8.1
361,Swan,MC,DW,CZ,47.8232,-113.8436,9.8,106.7,14.3,0.44,1.545,1.5,323.2,5.3,,,,135.9,Epilithon,0.08,0.7
363,Swan,OC,DW,BK,47.8238,-113.845,0.93,10.8,17.1,0.341,1.781,7.4,10.4,7.8,,,,5.1,FBOM,1.97,4.6
365,Swan,OC,DW,PN,47.8225,-113.8438,3.3,40.8,20.6,0.189,1.76,1.5,3.9,8.3,36.4,2.5,31,1.4,FBOM,2.29,6.9
